model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group
RandomForest,40,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
ExtraTrees,20,0.9882352941176471,0.02352941176470589,0.9857142857142858,0.02857142857142856,0.9875457875457876,0.02490842490842491,5,excitatory
LogisticRegression,40,0.9882352941176471,0.02352941176470589,0.9857142857142858,0.02857142857142856,0.9875457875457876,0.02490842490842491,5,excitatory
ExtraTrees,40,0.9764705882352942,0.04705882352941178,0.9714285714285715,0.05714285714285712,0.9742424242424242,0.051515151515151514,5,excitatory
ExtraTrees,40,0.7313725490196077,0.061812237477317074,0.711111111111111,0.06849348892187755,0.6941889591889592,0.08041084815465475,6,excitatory
RandomForest,3,0.7189542483660131,0.03573914539736554,0.7082539682539684,0.028437073874995163,0.7003278203278204,0.03279119695317205,6,excitatory
RandomForest,5,0.7071895424836601,0.058078065075877296,0.6933333333333332,0.051925873091324105,0.6731522181522182,0.06755948134371721,6,excitatory
ExtraTrees,20,0.6973856209150326,0.03994956023512712,0.6733333333333332,0.04745368112013915,0.6562496762496762,0.055302860926123375,6,excitatory
LogisticRegression,20,0.6856209150326797,0.04242831991403262,0.6714285714285715,0.03346158245854317,0.660929810929811,0.04260551252994834,6,excitatory
LogisticRegression,1,0.6745098039215687,0.06284713924834309,0.6638095238095238,0.07130076749730124,0.6451874051874051,0.08823205071532772,6,excitatory
LogisticRegression,5,0.6751633986928105,0.09937220167318705,0.6549206349206348,0.09353826976864964,0.6326434676434676,0.10716719022115968,6,excitatory
RandomForest,2,0.6627450980392158,0.05030557230037607,0.6504761904761904,0.04880429704883415,0.6448433048433049,0.03973494693824114,6,excitatory
