model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
RandomForest,40,0.6472222222222223,0.16657404833961054,0.645,0.16077935190813528,0.6443217893217893,0.16463195747969117,2,excitatory,1
ExtraTrees,40,0.65,0.1077262190536962,0.645,0.10295630140987,0.6366666666666667,0.11224972160321822,2,excitatory,1
RandomForest,3,0.6277777777777778,0.16629588385661961,0.6399999999999999,0.16170961628796232,0.6208946608946608,0.173368372911142,2,excitatory,1
RandomForest,1,0.6055555555555555,0.13425606637327303,0.61,0.11895377253370319,0.5864502164502164,0.14026325419145913,2,excitatory,1
LogisticRegression,40,0.6083333333333334,0.10333930687632374,0.605,0.11768602295939819,0.5786813186813188,0.15031873625881687,2,excitatory,1
RandomForest,10,0.6055555555555555,0.08268264481187342,0.6,0.07745966692414834,0.5867643467643469,0.07580022783484054,2,excitatory,1
ExtraTrees,1,0.5833333333333333,0.1111111111111111,0.59,0.10074720839804943,0.5663203463203463,0.12128542928525504,2,excitatory,1
RandomForest,20,0.5805555555555555,0.11533633051125941,0.575,0.11510864433221339,0.5676984126984127,0.11829486881904085,2,excitatory,1
ExtraTrees,10,0.5777777777777777,0.17427096823731247,0.5700000000000001,0.1698528775146303,0.5700000000000001,0.1698528775146303,2,excitatory,1
ExtraTrees,20,0.5555555555555556,0.1531560972454469,0.5549999999999999,0.16,0.5498701298701298,0.15239453218218987,2,excitatory,1
LogisticRegression,20,0.5583333333333333,0.1460382158677213,0.5549999999999999,0.15604486534327236,0.5438095238095239,0.14887979293297052,2,excitatory,1
ExtraTrees,3,0.5277777777777778,0.14881216928865418,0.5349999999999999,0.14966629547095767,0.5210317460317461,0.15153909314038752,2,excitatory,1
ExtraTrees,5,0.525,0.1913241706413618,0.525,0.1864135188230725,0.5163492063492063,0.18555046362858832,2,excitatory,1
LogisticRegression,10,0.5333333333333333,0.2038593681323197,0.525,0.19748417658131504,0.5131929181929182,0.19567876993523806,2,excitatory,1
LogisticRegression,5,0.5111111111111111,0.1077262190536962,0.51,0.1031988372027515,0.49833333333333335,0.10806376718298216,2,excitatory,1
LogisticRegression,1,0.5083333333333334,0.0992253949971764,0.51,0.09027735042633894,0.496002886002886,0.10005528519727773,2,excitatory,1
LogisticRegression,3,0.48611111111111105,0.12108052620946315,0.49000000000000005,0.11467344941179716,0.47121933621933626,0.11883069659114258,2,excitatory,1
LogisticRegression,2,0.4416666666666666,0.0806991058129664,0.44499999999999995,0.08276472678623424,0.4311327561327561,0.08335596227056555,2,excitatory,1
ExtraTrees,2,0.9666666666666668,0.06666666666666665,0.9666666666666666,0.0666666666666667,0.9657142857142856,0.06857142857142859,20,excitatory,1
LogisticRegression,3,0.9666666666666666,0.06666666666666665,0.9666666666666666,0.0666666666666667,0.9657142857142856,0.06857142857142859,20,excitatory,1
RandomForest,3,0.9666666666666666,0.06666666666666665,0.9666666666666666,0.0666666666666667,0.9657142857142856,0.06857142857142859,20,excitatory,1
ExtraTrees,3,0.9666666666666666,0.06666666666666665,0.9666666666666666,0.0666666666666667,0.9657142857142856,0.06857142857142859,20,excitatory,1
ExtraTrees,5,0.9666666666666666,0.06666666666666665,0.9666666666666666,0.0666666666666667,0.9657142857142856,0.06857142857142859,20,excitatory,1
LogisticRegression,1,0.9333333333333333,0.08164965809277258,0.9333333333333332,0.08164965809277264,0.9314285714285713,0.08398250546685185,20,excitatory,1
